cycle,entropy,record_low,lcc_size,avg_degree,phase,rule_count,avg_rule_strength,max_rule_strength
1000,0.9559904338822203,0.9559904338822203,12,1.872340425531915,SUPERFLUID,44,1.199575774059676,1.199999999999998
2000,0.9319592959379479,0.9319592959379479,27,2.125,SUPERFLUID,88,1.1952122904368736,1.199999999999998
3000,0.9025038163503352,0.9025038163503352,151,2.5217391304347827,SUPERFLUID,139,1.1942378275361076,1.199999999999998
4000,0.884600809834192,0.884600809834192,183,2.95,SUPERFLUID,179,1.198218882171687,1.199999999999998
5000,0.862228989661314,0.862224594085281,218,3.448888888888889,SUPERFLUID,228,1.1990644214703656,1.199999999999998
6000,0.8321433708126316,0.8321433708126316,233,4.017021276595744,SUPERFLUID,273,1.1981910882181888,1.199999999999998
7000,0.808494934747556,0.808494934747556,243,4.37037037037037,SUPERFLUID,312,1.1991072542689294,1.199999999999998
8000,0.7724557234939873,0.7723192794951969,247,4.8582995951417,SUPERFLUID,356,1.1974896188600248,1.199999999999998
9000,0.7488977417988223,0.7488960662421378,249,5.405622489959839,SUPERFLUID,396,1.199636609766735,1.199999999999998
10000,0.7335725892131437,0.7335673480813701,253,5.928853754940712,SUPERFLUID,437,1.1989003051541525,1.199999999999998
11000,0.7075185560393131,0.7075185560393131,254,6.440944881889764,SUPERFLUID,480,1.1999069248759398,1.199999999999998
12000,0.6923473518821511,0.6923473518821511,254,6.78740157480315,SUPERFLUID,508,1.1998050843821833,1.199999999999998
13000,0.6738160553982511,0.6738160553982511,255,7.1607843137254905,SUPERFLUID,548,1.1980115024833486,1.199999999999998
14000,0.6565672519111606,0.6565672519111606,256,7.5625,SUPERFLUID,583,1.1992217187013023,1.199999999999998
15000,0.6450593531810287,0.6450488916589845,256,7.90625,SUPERFLUID,611,1.1999973803911104,1.199999999999998
16000,0.6321062848194774,0.6320616666933474,256,8.328125,SUPERFLUID,653,1.1997147705494873,1.199999999999998
17000,0.6201915782518657,0.6201915782518657,256,8.6875,SUPERFLUID,680,1.199993304620182,1.199999999999998
18000,0.607629651473623,0.607629651473623,256,9.203125,SUPERFLUID,715,1.1995514563951302,1.199999999999998
19000,0.590995219558843,0.590995219558843,256,9.6171875,SUPERFLUID,755,1.1997601128161413,1.199999999999998
20000,0.5751486026423938,0.5751486026423938,256,10.078125,SUPERFLUID,790,1.1993569775650343,1.199999999999998
21000,0.5450625830104797,0.5450625830104797,256,10.4296875,SUPERFLUID,818,1.1999034357500715,1.199999999999998
22000,0.5396674229509271,0.5396674229509271,256,10.671875,SUPERFLUID,837,1.1998084968434302,1.199999999999998
23000,0.5288081932141236,0.5288023293490862,256,11.0625,SUPERFLUID,873,1.1992195637224674,1.199999999999998
24000,0.518788190990942,0.518788190990942,256,11.453125,SUPERFLUID,905,1.1998941760381876,1.199999999999998
25000,0.508953167959375,0.508953167959375,256,11.78125,SUPERFLUID,931,1.1998591840500004,1.199999999999998
26000,0.4992570757678586,0.4992570757678586,256,12.015625,SUPERFLUID,955,1.1999929667910252,1.199999999999998
27000,0.492279123185157,0.492279123185157,256,12.375,SUPERFLUID,985,1.1996690507216647,1.199999999999998
28000,0.47220304762859344,0.4721667439317785,256,12.9140625,SUPERFLUID,1026,1.1996294942209038,1.199999999999998
29000,0.39849579261565,0.39849579261565,256,13.25,CRUNCH,1052,1.1999933741237445,1.199999999999998
30000,0.3485752706811629,0.3481299010516479,256,13.5390625,CRUNCH,1076,1.1999806979590648,1.199999999999998
31000,0.3454889008927233,0.3454889008927233,256,13.7890625,CRUNCH,1099,1.1998732655501714,1.199999999999998
32000,0.3436998947756221,0.34363063086811807,256,14.0234375,CRUNCH,1118,1.1998509690619,1.199999999999998
33000,0.3418326011145909,0.3418326011145909,256,14.3359375,CRUNCH,1138,1.1999977633249501,1.199999999999998
34000,0.33376516019841607,0.33362996604552253,256,14.625,CRUNCH,1163,1.1997581725211393,1.199999999999998
35000,0.3330485173024833,0.3330485173024833,256,14.9375,CRUNCH,1189,1.199638124746876,1.199999999999998
36000,0.33099076035373953,0.33099076035373953,256,15.1875,CRUNCH,1212,1.1997735590235974,1.199999999999998
37000,0.3199797249080833,0.3199797249080833,256,15.5859375,CRUNCH,1246,1.1998093933977796,1.199999999999998
38000,0.3177934878409716,0.3177885560730155,256,15.8984375,CRUNCH,1273,1.1996172507161755,1.199999999999998
39000,0.3131580919021829,0.3131580919021829,256,16.234375,CRUNCH,1300,1.1999989807967104,1.199999999999998
40000,0.3120237475088556,0.3120237475088556,256,16.4921875,CRUNCH,1320,1.1998820762249198,1.199999999999998
41000,0.30941469498979385,0.30941469498979385,256,16.6953125,CRUNCH,1339,1.1999929047253834,1.199999999999998
42000,0.2963734480674225,0.2963734480674225,256,17.0234375,CRUNCH,1368,1.1996315108575668,1.199999999999998
43000,0.29402958064958873,0.29402958064958873,256,17.3515625,CRUNCH,1397,1.1997124350417216,1.199999999999998
44000,0.2772898639386342,0.2772898639386342,256,17.71875,CRUNCH,1426,1.199962671511445,1.199999999999998
45000,0.276563218910706,0.276563218910706,256,17.90625,CRUNCH,1441,1.1999610813890753,1.199999999999998
46000,0.2753219848387296,0.2753218387147029,256,18.3125,CRUNCH,1475,1.1993172074443794,1.199999999999998
47000,0.27498359900169184,0.27498359900169184,256,18.6171875,CRUNCH,1499,1.199987744317042,1.199999999999998
48000,0.27205541248325066,0.27205541248325066,256,18.9140625,CRUNCH,1525,1.199864583082185,1.199999999999998
49000,0.27194372624294,0.27194372624294,256,19.21875,CRUNCH,1549,1.1998241720282161,1.199999999999998
50000,0.2701736155442138,0.2701736155442138,256,19.515625,CRUNCH,1573,1.1999685520364105,1.199999999999998
51000,0.26573517649605416,0.26573517649605416,256,19.8515625,CRUNCH,1604,1.1999878420430936,1.199999999999998
52000,0.2615552700763158,0.2615552700763158,256,20.0234375,CRUNCH,1622,1.1999979845582942,1.199999999999998
53000,0.2578387830758637,0.2578387830758637,256,20.203125,CRUNCH,1636,1.1999717414475781,1.199999999999998
54000,0.2571645772986453,0.2571645772986453,256,20.3984375,CRUNCH,1650,1.1997360189416297,1.199999999999998
55000,0.2567002647120177,0.2567002647120177,256,20.6171875,CRUNCH,1667,1.199980186150408,1.199999999999998
56000,0.25615299027042576,0.2561476707016296,256,20.84375,CRUNCH,1684,1.1999441291261397,1.199999999999998
